------------------------------------ [ roc/ElectronEff_v3_4/medium_electron_UL2016postVFP.txt ] -----------------------------------------
Flavor   Set Member isMC  Type               Charge File                                                                            Key                 
Electron 0   0      False ID                 Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/MediumID_QPlus_v3_4.root    EGamma_EffData2D    
Electron 0   0      True  ID                 Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/MediumID_QPlus_v3_4.root    EGamma_EffMC2D      
Electron 0   0      False ID                 Minus  root/ElectronEff_v3_4/medium_electron_UL2016postVFP/MediumID_QMinus_v3_4.root   EGamma_EffData2D    
Electron 0   0      True  ID                 Minus  root/ElectronEff_v3_4/medium_electron_UL2016postVFP/MediumID_QMinus_v3_4.root   EGamma_EffMC2D      
Electron 0   0      False SingleTrigger      Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele27_MediumID_QPlus_v3_4.r EGamma_EffData2D    
Electron 0   0      True  SingleTrigger      Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele27_MediumID_QPlus_v3_4.r EGamma_EffMC2D      
Electron 0   0      False SingleTrigger      Minus  root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele27_MediumID_QMinus_v3_4. EGamma_EffData2D    
Electron 0   0      True  SingleTrigger      Minus  root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele27_MediumID_QMinus_v3_4. EGamma_EffMC2D      
Electron 0   0      False DoubleTriggerLeg1  Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele23Leg1_MediumID_QPlus_v3 EGamma_EffData2D    
Electron 0   0      True  DoubleTriggerLeg1  Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele23Leg1_MediumID_QPlus_v3 EGamma_EffMC2D      
Electron 0   0      False DoubleTriggerLeg1  Minus  root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele23Leg1_MediumID_QMinus_v EGamma_EffData2D    
Electron 0   0      True  DoubleTriggerLeg1  Minus  root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele23Leg1_MediumID_QMinus_v EGamma_EffMC2D      
Electron 0   0      False DoubleTriggerLeg2  Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele12Leg2_MediumID_QPlus_v3 EGamma_EffData2D    
Electron 0   0      True  DoubleTriggerLeg2  Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele12Leg2_MediumID_QPlus_v3 EGamma_EffMC2D      
Electron 0   0      False DoubleTriggerLeg2  Minus  root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele12Leg2_MediumID_QMinus_v EGamma_EffData2D    
Electron 0   0      True  DoubleTriggerLeg2  Minus  root/ElectronEff_v3_4/medium_electron_UL2016postVFP/Ele12Leg2_MediumID_QMinus_v EGamma_EffMC2D      
Electron 0   0      False RECO               Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/egammaEffi_ptAbove20.txt_EG EGamma_EffData2D    
Electron 0   0      True  RECO               Plus   root/ElectronEff_v3_4/medium_electron_UL2016postVFP/egammaEffi_ptAbove20.txt_EG EGamma_EffMC2D      
